training_variant,model_family,task,method,metric_name,mean_value
kd-lora,bert,rte,mrlora-rs,eval_accuracy,58.24308062575211
kd-lora,deberta,wnli,adalora,eval_accuracy,43.66197183098591
kd-lora,roberta,cola,adalora,eval_matthews_correlation,0.0
kd-lora,deberta,rte,adalora,eval_accuracy,52.707581227436826
kd-lora,deberta,stsb,adalora,eval_pearson,12.33062327309706
kd-lora,deberta,stsb,adalora,eval_spearman,12.351199404764795
kd-lora,deberta,stsb,olora,eval_pearson,80.48138042024584
kd-lora,deberta,stsb,olora,eval_spearman,81.97027557071618
kd-lora,deberta,stsb,rslora,eval_pearson,71.39990495925359
kd-lora,deberta,stsb,rslora,eval_spearman,72.80926743210611
kd-lora,deberta,stsb,lora,eval_pearson,76.41113667919484
kd-lora,deberta,stsb,lora,eval_spearman,77.71018654568961
kd-lora,deberta,stsb,mrlora,eval_pearson,83.22758134086699
kd-lora,deberta,stsb,mrlora,eval_spearman,83.92554157585563
kd-lora,deberta,stsb,dora,eval_pearson,74.93089796275888
kd-lora,deberta,stsb,dora,eval_spearman,77.32858424524137
kd-lora,deberta,stsb,mrlora-rs,eval_pearson,85.39542558118802
kd-lora,deberta,stsb,mrlora-rs,eval_spearman,85.823583017306
kd-lora,deberta,sst2,adalora,eval_accuracy,91.85779816513761
kd-lora,roberta,mnli,adalora,matched_accuracy,77.89098318899643
kd-lora,roberta,mnli,adalora,mismatched_accuracy,78.80390561432058
kd-lora,bert,mrpc,adalora,eval_accuracy,71.07843137254902
kd-lora,bert,mrpc,adalora,eval_f1,82.4404761904762
fft,bert,wnli,fft,eval_accuracy,48.35680751173708
fft,deberta,mnli,fft,matched_accuracy,89.32246561385634
fft,deberta,mnli,fft,mismatched_accuracy,89.58163818822892
fft,deberta,cola,fft,eval_matthews_correlation,65.79428501083802
fft,roberta,mrpc,fft,eval_accuracy,88.88888888888889
fft,roberta,mrpc,fft,eval_f1,92.05477297025875
fft,bert,cola,fft,eval_matthews_correlation,56.19475765596488
fft,deberta,qqp,fft,eval_accuracy,92.2277186907412
fft,deberta,qqp,fft,eval_f1,89.66459721262622
fft,bert,sst2,fft,eval_accuracy,91.97247706422019
fft,deberta,sst2,fft,eval_accuracy,95.68042813455658
fft,bert,mrpc,fft,eval_accuracy,85.70261437908498
fft,bert,mrpc,fft,eval_f1,90.0762592815573
fft,roberta,qqp,fft,eval_accuracy,90.61093247588424
fft,roberta,qqp,fft,eval_f1,87.74909366949008
fft,roberta,cola,fft,eval_matthews_correlation,59.28761518268145
fft,bert,mnli,fft,matched_accuracy,83.28069281711666
fft,bert,mnli,fft,mismatched_accuracy,83.60455655004068
fft,roberta,rte,fft,eval_accuracy,67.62936221419976
fft,bert,qnli,fft,eval_accuracy,90.67057172493746
fft,roberta,wnli,fft,eval_accuracy,51.1737089201878
fft,bert,stsb,fft,eval_pearson,88.21406655140976
fft,bert,stsb,fft,eval_spearman,87.77766911793147
fft,deberta,qnli,fft,eval_accuracy,93.709195191897
fft,roberta,qnli,fft,eval_accuracy,92.5315760571115
fft,deberta,mrpc,fft,eval_accuracy,89.21568627450979
fft,deberta,mrpc,fft,eval_f1,92.241263417734
fft,roberta,sst2,fft,eval_accuracy,93.27217125382262
fft,roberta,stsb,fft,eval_pearson,90.18178746771048
fft,roberta,stsb,fft,eval_spearman,90.07293433136809
fft,bert,qqp,fft,eval_accuracy,91.00420479841702
fft,bert,qqp,fft,eval_f1,88.07252910007736
fft,deberta,wnli,fft,eval_accuracy,55.39906103286385
fft,deberta,rte,fft,eval_accuracy,79.78339350180505
fft,roberta,mnli,fft,matched_accuracy,87.26439123790118
fft,roberta,mnli,fft,mismatched_accuracy,87.06943314347707
fft,bert,rte,fft,eval_accuracy,62.093862815884485
fft,deberta,stsb,fft,eval_pearson,90.35594680738637
fft,deberta,stsb,fft,eval_spearman,90.29646677444838
lora,bert,wnli,rslora,eval_accuracy,57.04225352112676
lora,bert,wnli,lora,eval_accuracy,56.33802816901409
lora,bert,wnli,olora,eval_accuracy,56.33802816901409
lora,bert,wnli,mrlora,eval_accuracy,56.690140845070424
lora,bert,wnli,dora,eval_accuracy,56.33802816901409
lora,bert,wnli,mrlora-rs,eval_accuracy,56.33802816901409
lora,deberta,mnli,olora,matched_accuracy,89.90320937340806
lora,deberta,mnli,olora,mismatched_accuracy,89.82912937347437
lora,deberta,mnli,rslora,matched_accuracy,90.12990320937341
lora,deberta,mnli,rslora,mismatched_accuracy,90.13679820992677
lora,deberta,mnli,lora,matched_accuracy,90.14518593988792
lora,deberta,mnli,lora,mismatched_accuracy,90.07068755085434
lora,deberta,mnli,mrlora,matched_accuracy,90.24197656647988
lora,deberta,mnli,mrlora,mismatched_accuracy,90.15205451586657
lora,deberta,mnli,dora,matched_accuracy,90.20122261844115
lora,deberta,mnli,dora,mismatched_accuracy,90.07831570382425
lora,deberta,mnli,mrlora-rs,matched_accuracy,90.16046867040245
lora,deberta,mnli,mrlora-rs,mismatched_accuracy,90.17493897477625
lora,deberta,cola,rslora,eval_matthews_correlation,62.75810544352105
lora,deberta,cola,lora,eval_matthews_correlation,62.692295479217044
lora,deberta,cola,olora,eval_matthews_correlation,61.762601898959055
lora,deberta,cola,mrlora,eval_matthews_correlation,63.13585876736819
lora,deberta,cola,dora,eval_matthews_correlation,62.57025410339018
lora,deberta,cola,mrlora-rs,eval_matthews_correlation,66.14301126154608
lora,roberta,mrpc,olora,eval_accuracy,79.47303921568627
lora,roberta,mrpc,olora,eval_f1,86.37961488482642
lora,roberta,mrpc,rslora,eval_accuracy,82.29166666666667
lora,roberta,mrpc,rslora,eval_f1,87.85992416796873
lora,roberta,mrpc,lora,eval_accuracy,76.65441176470587
lora,roberta,mrpc,lora,eval_f1,84.73582816314436
lora,roberta,mrpc,mrlora,eval_accuracy,81.31127450980391
lora,roberta,mrpc,mrlora,eval_f1,87.22585049899803
lora,roberta,mrpc,dora,eval_accuracy,76.59313725490196
lora,roberta,mrpc,dora,eval_f1,84.58274046229009
lora,roberta,mrpc,mrlora-rs,eval_accuracy,86.15196078431373
lora,roberta,mrpc,mrlora-rs,eval_f1,90.17922765645072
lora,bert,cola,olora,eval_matthews_correlation,48.45950076797026
lora,bert,cola,rslora,eval_matthews_correlation,52.07713999978464
lora,bert,cola,lora,eval_matthews_correlation,50.878111952220586
lora,bert,cola,mrlora,eval_matthews_correlation,50.03641222703541
lora,bert,cola,dora,eval_matthews_correlation,49.78175097725055
lora,bert,cola,mrlora-rs,eval_matthews_correlation,51.7786142465526
lora,deberta,qqp,rslora,eval_accuracy,91.00234974029185
lora,deberta,qqp,rslora,eval_f1,88.072608430612
lora,deberta,qqp,lora,eval_accuracy,90.43161019045263
lora,deberta,qqp,lora,eval_f1,87.303871215321
lora,deberta,qqp,olora,eval_accuracy,90.57444966608954
lora,deberta,qqp,olora,eval_f1,87.50463382320483
lora,deberta,qqp,mrlora,eval_accuracy,90.767994063814
lora,deberta,qqp,mrlora,eval_f1,87.75204165973231
lora,deberta,qqp,dora,eval_accuracy,90.52930991837744
lora,deberta,qqp,dora,eval_f1,87.43091570980782
lora,deberta,qqp,mrlora-rs,eval_accuracy,91.33749690823647
lora,deberta,qqp,mrlora-rs,eval_f1,88.51093546056455
lora,bert,sst2,rslora,eval_accuracy,91.5711009174312
lora,bert,sst2,lora,eval_accuracy,91.02637614678899
lora,bert,sst2,olora,eval_accuracy,91.08371559633028
lora,bert,sst2,mrlora,eval_accuracy,91.5711009174312
lora,bert,sst2,dora,eval_accuracy,91.28440366972478
lora,bert,sst2,mrlora-rs,eval_accuracy,91.5137614678899
lora,deberta,sst2,rslora,eval_accuracy,95.2217125382263
lora,deberta,sst2,lora,eval_accuracy,95.0401376146789
lora,deberta,sst2,olora,eval_accuracy,95.25993883792049
lora,deberta,sst2,mrlora,eval_accuracy,95.48929663608563
lora,deberta,sst2,dora,eval_accuracy,95.2217125382263
lora,deberta,sst2,mrlora-rs,eval_accuracy,95.03058103975536
lora,bert,mrpc,rslora,eval_accuracy,82.84313725490196
lora,bert,mrpc,rslora,eval_f1,88.23941514535686
lora,bert,mrpc,lora,eval_accuracy,77.81862745098039
lora,bert,mrpc,lora,eval_f1,85.24861065345848
lora,bert,mrpc,olora,eval_accuracy,78.73774509803921
lora,bert,mrpc,olora,eval_f1,85.69177865753082
lora,bert,mrpc,mrlora,eval_accuracy,79.96323529411764
lora,bert,mrpc,mrlora,eval_f1,86.6153317183748
lora,bert,mrpc,dora,eval_accuracy,78.67647058823529
lora,bert,mrpc,dora,eval_f1,85.82090302525908
lora,bert,mrpc,mrlora-rs,eval_accuracy,83.94607843137256
lora,bert,mrpc,mrlora-rs,eval_f1,88.7243832648649
lora,roberta,qqp,rslora,eval_accuracy,89.39710610932475
lora,roberta,qqp,rslora,eval_f1,86.02554345690434
lora,roberta,qqp,lora,eval_accuracy,88.90427900074202
lora,roberta,qqp,lora,eval_f1,85.36353791023734
lora,roberta,qqp,olora,eval_accuracy,88.84120702448676
lora,roberta,qqp,olora,eval_f1,85.33820082939894
lora,roberta,qqp,mrlora,eval_accuracy,89.22644076181055
lora,roberta,qqp,mrlora,eval_f1,85.78365647417759
lora,roberta,qqp,dora,eval_accuracy,88.90304229532525
lora,roberta,qqp,dora,eval_f1,85.37855597305018
lora,roberta,qqp,mrlora-rs,eval_accuracy,82.87719515211477
lora,roberta,qqp,mrlora-rs,eval_f1,64.54029105443834
lora,roberta,cola,rslora,eval_matthews_correlation,52.609043937088096
lora,roberta,cola,lora,eval_matthews_correlation,51.457473834293744
lora,roberta,cola,olora,eval_matthews_correlation,48.728081661578074
lora,roberta,cola,mrlora,eval_matthews_correlation,54.30774113739736
lora,roberta,cola,dora,eval_matthews_correlation,52.87329644368557
lora,roberta,cola,mrlora-rs,eval_matthews_correlation,51.74744914925553
lora,bert,mnli,rslora,matched_accuracy,82.51910341314314
lora,bert,mnli,rslora,mismatched_accuracy,83.16720911310009
lora,bert,mnli,lora,matched_accuracy,82.11411105450841
lora,bert,mnli,lora,mismatched_accuracy,82.84174125305125
lora,bert,mnli,olora,matched_accuracy,82.18543046357615
lora,bert,mnli,olora,mismatched_accuracy,82.72477624084623
lora,bert,mnli,mrlora,matched_accuracy,82.82730514518593
lora,bert,mnli,mrlora,mismatched_accuracy,83.25111879576892
lora,bert,mnli,dora,matched_accuracy,82.33061640346409
lora,bert,mnli,dora,mismatched_accuracy,82.92819365337672
lora,bert,mnli,mrlora-rs,matched_accuracy,82.59806418746815
lora,bert,mnli,mrlora-rs,mismatched_accuracy,83.32740032546786
lora,roberta,rte,olora,eval_accuracy,63.71841155234657
lora,roberta,rte,rslora,eval_accuracy,61.371841155234655
lora,roberta,rte,lora,eval_accuracy,59.92779783393502
lora,roberta,rte,mrlora,eval_accuracy,62.545126353790614
